Date;Country;CPI
1.5.15;Belgium;0.16
1.6.15;Belgium;0.15
1.7.15;Belgium;0.00
1.8.15;Belgium;0.07
1.9.15;Belgium;0.07
1.10.15;Belgium;0.35
1.11.15;Belgium;0.11
1.12.15;Belgium;-0.13
1.1.16;Belgium;0.11
1.2.16;Belgium;0.06
1.3.16;Belgium;0.91
1.4.16;Belgium;0.18
1.5.16;Belgium;0.32
1.6.16;Belgium;0.11
1.7.16;Belgium;0.12
1.8.16;Belgium;-0.05
1.9.16;Belgium;-0.21
1.10.16;Belgium;0.29
1.11.16;Belgium;0.07
1.12.16;Belgium;0.13
1.1.17;Belgium;0.71
1.2.17;Belgium;0.37
1.3.17;Belgium;0.23
1.4.17;Belgium;0.17
1.5.17;Belgium;-0.09
1.6.17;Belgium;-0.15
1.7.17;Belgium;0.30
1.8.17;Belgium;0.07
1.9.17;Belgium;-0.10
1.10.17;Belgium;0.29
1.11.17;Belgium;0.13
1.12.17;Belgium;0.19
1.1.18;Belgium;0.29
1.2.18;Belgium;0.15
1.3.18;Belgium;0.14
1.4.18;Belgium;0.30
1.5.18;Belgium;0.21
1.6.18;Belgium;0.10
1.7.18;Belgium;0.38
1.8.18;Belgium;0.14
1.9.18;Belgium;0.00
1.10.18;Belgium;0.68
1.11.18;Belgium;0.16
1.12.18;Belgium;-0.24
1.1.19;Belgium;-0.05
1.2.19;Belgium;0.32
1.3.19;Belgium;0.30
1.4.19;Belgium;0.06
1.5.19;Belgium;0.02
1.6.19;Belgium;-0.06
1.7.19;Belgium;0.08
1.8.19;Belgium;-0.02
1.9.19;Belgium;-0.46
1.10.19;Belgium;0.36
1.11.19;Belgium;0.06
1.12.19;Belgium;0.13
1.1.20;Belgium;0.60
1.2.20;Belgium;0.02
1.3.20;Belgium;-0.16
1.4.20;Belgium;0.00
1.5.20;Belgium;-0.07
1.6.20;Belgium;0.06
1.7.20;Belgium;0.22
1.8.20;Belgium;0.06
1.9.20;Belgium;-0.37
1.10.20;Belgium;0.20
1.11.20;Belgium;-0.16
1.12.20;Belgium;0.03
1.1.21;Belgium;0.44
1.2.21;Belgium;0.22
1.3.21;Belgium;0.27
1.4.21;Belgium;0.33
1.5.21;Belgium;0.15
1.6.21;Belgium;0.23
1.7.21;Belgium;0.85
1.8.21;Belgium;0.52
1.9.21;Belgium;-0.25
1.10.21;Belgium;1.47
1.11.21;Belgium;1.25
1.12.21;Belgium;0.10
1.1.22;Belgium;2.23
1.2.22;Belgium;0.63
1.3.22;Belgium;0.52
1.4.22;Belgium;0.33
1.5.22;Belgium;0.77
1.6.22;Belgium;0.85
1.7.22;Belgium;0.83
1.8.22;Belgium;0.81
1.9.22;Belgium;0.96
1.10.22;Belgium;2.37
1.11.22;Belgium;-0.23
1.12.22;Belgium;-0.16
1.1.23;Belgium;0.09
1.2.23;Belgium;-0.70
1.3.23;Belgium;0.57
1.4.23;Belgium;-0.67
1.5.23;Belgium;0.38
1.6.23;Belgium;-0.15
1.7.23;Belgium;0.81
1.8.23;Belgium;0.76
1.9.23;Belgium;-0.69
1.10.23;Belgium;0.34
1.11.23;Belgium;0.17
1.12.23;Belgium;0.43
1.1.24;Belgium;0.49
1.2.24;Belgium;0.71
1.3.24;Belgium;0.55
1.4.24;Belgium;-0.48
1.5.24;Belgium;0.37
1.6.24;Belgium;0.22
1.7.24;Belgium;0.71
1.8.24;Belgium;0.00
1.9.24;Belgium;-0.50
1.1.12;Canada;0.42
1.2.12;Canada;0.41
1.3.12;Canada;0.41
1.4.12;Canada;0.41
1.5.12;Canada;-0.08
1.6.12;Canada;-0.41
1.7.12;Canada;-0.08
1.8.12;Canada;0.25
1.9.12;Canada;0.16
1.10.12;Canada;0.16
1.11.12;Canada;-0.25
1.12.12;Canada;-0.57
1.1.13;Canada;0.08
1.2.13;Canada;1.15
1.3.13;Canada;0.16
1.4.13;Canada;-0.16
1.5.13;Canada;0.24
1.6.13;Canada;0.00
1.7.13;Canada;0.08
1.8.13;Canada;0.00
1.9.13;Canada;0.16
1.10.13;Canada;-0.24
1.11.13;Canada;0.00
1.12.13;Canada;-0.24
1.1.14;Canada;0.33
1.2.14;Canada;0.81
1.3.14;Canada;0.56
1.4.14;Canada;0.32
1.5.14;Canada;0.48
1.6.14;Canada;0.08
1.7.14;Canada;-0.16
1.8.14;Canada;0.00
1.9.14;Canada;0.08
1.10.14;Canada;0.08
1.11.14;Canada;-0.40
1.12.14;Canada;-0.72
1.1.15;Canada;-0.16
1.2.15;Canada;0.88
1.3.15;Canada;0.72
1.4.15;Canada;-0.08
1.5.15;Canada;0.55
1.6.15;Canada;0.24
1.7.15;Canada;0.08
1.8.15;Canada;0.00
1.9.15;Canada;-0.16
1.10.15;Canada;0.08
1.11.15;Canada;-0.08
1.12.15;Canada;-0.47
1.1.16;Canada;0.24
1.2.16;Canada;0.24
1.3.16;Canada;0.63
1.4.16;Canada;0.31
1.5.16;Canada;0.39
1.6.16;Canada;0.23
1.7.16;Canada;-0.15
1.8.16;Canada;-0.16
1.9.16;Canada;0.08
1.10.16;Canada;0.23
1.11.16;Canada;-0.39
1.12.16;Canada;-0.16
1.1.17;Canada;0.86
1.2.17;Canada;0.15
1.3.17;Canada;0.15
1.4.17;Canada;0.38
1.5.17;Canada;0.08
1.6.17;Canada;-0.08
1.7.17;Canada;0.00
1.8.17;Canada;0.08
1.9.17;Canada;0.23
1.10.17;Canada;0.08
1.11.17;Canada;0.31
1.12.17;Canada;-0.38
1.1.18;Canada;0.69
1.2.18;Canada;0.61
1.3.18;Canada;0.30
1.4.18;Canada;0.30
1.5.18;Canada;0.08
1.6.18;Canada;0.15
1.7.18;Canada;0.52
1.8.18;Canada;-0.07
1.9.18;Canada;-0.37
1.10.18;Canada;0.30
1.11.18;Canada;-0.45
1.12.18;Canada;-0.07
1.1.19;Canada;0.15
1.2.19;Canada;0.67
1.3.19;Canada;0.67
1.4.19;Canada;0.44
1.5.19;Canada;0.44
1.6.19;Canada;-0.22
1.7.19;Canada;0.51
1.8.19;Canada;-0.15
1.9.19;Canada;-0.44
1.10.19;Canada;0.29
1.11.19;Canada;-0.15
1.12.19;Canada;0.00
1.1.20;Canada;0.29
1.2.20;Canada;0.44
1.3.20;Canada;-0.58
1.4.20;Canada;-0.66
1.5.20;Canada;0.29
1.6.20;Canada;0.81
1.7.20;Canada;0.00
1.8.20;Canada;-0.15
1.9.20;Canada;-0.07
1.10.20;Canada;0.44
1.11.20;Canada;0.15
1.12.20;Canada;-0.22
1.1.21;Canada;0.58
1.2.21;Canada;0.51
1.3.21;Canada;0.50
1.4.21;Canada;0.50
1.5.21;Canada;0.50
1.6.21;Canada;0.28
1.7.21;Canada;0.64
1.8.21;Canada;0.21
1.9.21;Canada;0.21
1.10.21;Canada;0.70
1.11.21;Canada;0.21
1.12.21;Canada;-0.14
1.1.22;Canada;0.90
1.2.22;Canada;1.03
1.3.22;Canada;1.43
1.4.22;Canada;0.60
1.5.22;Canada;1.40
1.6.22;Canada;0.66
1.7.22;Canada;0.13
1.8.22;Canada;-0.33
1.9.22;Canada;0.07
1.10.22;Canada;0.72
1.11.22;Canada;0.13
1.12.22;Canada;-0.58
1.1.23;Canada;0.52
1.2.23;Canada;0.39
1.3.23;Canada;0.52
1.4.23;Canada;0.71
1.5.23;Canada;0.38
1.6.23;Canada;0.13
1.7.23;Canada;0.57
1.8.23;Canada;0.38
1.9.23;Canada;-0.13
1.10.23;Canada;0.06
1.11.23;Canada;0.13
1.12.23;Canada;-0.31
1.1.24;Canada;0.00
1.2.24;Canada;0.32
1.3.24;Canada;0.63
1.4.24;Canada;0.50
1.5.24;Canada;0.56
1.6.24;Canada;-0.06
